name	symbol	price	24h	7d	market_cap	volume(usd)	volume(coin)	circulating_supply	url
1226	BOOM	BOOM	$0.001482	2.72%	0.82%	$1,159,231	$5,865	3,957,913 BOOM	782,239,055 BOOM	https://coinmarketcap.com/currencies/boom/historical-data/?start=20100101&end=20210101
1227	nYFI	N0031	$0.434603	16.88%	29.59%	$1,161,092	$318,378	732,573 N0031	2,671,616 N0031	https://coinmarketcap.com/currencies/nyfi/historical-data/?start=20100101&end=20210101
1228	PayPie	PPP	$0.014072	9.52%	44.46%	$1,160,954	$0	0 PPP	82,500,000 PPP	https://coinmarketcap.com/currencies/paypie/historical-data/?start=20100101&end=20210101
1229	Beaxy	BXY	$0.004101	7.97%	27.00%	$1,157,803	$362	88,381 BXY	282,316,707 BXY	https://coinmarketcap.com/currencies/beaxy/historical-data/?start=20100101&end=20210101
1230	Bottos	BTO	$0.001946	39.71%	33.49%	$1,062,350	$71,198	36,592,664 BTO	546,000,153 BTO	https://coinmarketcap.com/currencies/bottos/historical-data/?start=20100101&end=20210101
1231	Spectre.ai Utility Token	SXUT	$0.046817	4.87%	18.11%	$1,148,406	$0	0 SXUT	24,529,558 SXUT	https://coinmarketcap.com/currencies/spectre-utility/historical-data/?start=20100101&end=20210101
1232	FREE Coin	FREE	$0.000000	10.67%	18.52%	$1,142,183	$14,158	120,311,706,569 FREE	9,706,057,259,292 FREE	https://coinmarketcap.com/currencies/free-coin/historical-data/?start=20100101&end=20210101
1233	Nexty	NTY	$0.000007	12.87%	19.33%	$1,147,571	$1,488	203,836,143 NTY	157,177,714,004 NTY	https://coinmarketcap.com/currencies/nexty/historical-data/?start=20100101&end=20210101
1234	QChi	QCH	$0.034788	2.27%	5.49%	$1,125,126	$4,169	119,842 QCH	32,342,714 QCH	https://coinmarketcap.com/currencies/qchi/historical-data/?start=20100101&end=20210101
1235	Internxt	INXT	$1.80	2.91%	9.36%	$1,130,256	$90,811	50,586 INXT	629,610 INXT	https://coinmarketcap.com/currencies/internxt/historical-data/?start=20100101&end=20210101
1236	Rise	RISE	$0.006680	33.60%	28.15%	$1,124,954	$0	0 RISE	168,400,643 RISE	https://coinmarketcap.com/currencies/rise/historical-data/?start=20100101&end=20210101
1237	Pantos	PAN	$0.036769	8.31%	3.43%	$1,124,545	$6,616	179,932 PAN	30,584,169 PAN	https://coinmarketcap.com/currencies/pantos/historical-data/?start=20100101&end=20210101
1238	2key.network	2KEY	$0.029509	7.17%	4.68%	$1,086,256	$510,184	17,289,047 2KEY	36,810,910 2KEY	https://coinmarketcap.com/currencies/2key-network/historical-data/?start=20100101&end=20210101
1239	Earneo	RNO	$0.004364	63.06%	37.05%	$1,110,794	$0	0 RNO	254,552,776 RNO	https://coinmarketcap.com/currencies/earneo/historical-data/?start=20100101&end=20210101
1240	Qwertycoin	QWC	$0.000007	13.97%	22.22%	$978,079	$1,062,248	141,971,195,318 QWC	130,721,819,192 QWC	https://coinmarketcap.com/currencies/qwertycoin/historical-data/?start=20100101&end=20210101
1241	CanYaCoin	CAN	$0.011529	38.27%	33.53%	$1,104,745	$11,540	1,000,980 CAN	95,826,983 CAN	https://coinmarketcap.com/currencies/canyacoin/historical-data/?start=20100101&end=20210101
1242	Vid	VI	$0.048892	4.16%	25.93%	$1,101,276	$14,301	292,497 VI	22,524,753 VI	https://coinmarketcap.com/currencies/vid/historical-data/?start=20100101&end=20210101
1243	Zero	ZER	$0.116183	1.16%	5.20%	$1,099,634	$40,379	347,551 ZER	9,464,686 ZER	https://coinmarketcap.com/currencies/zero/historical-data/?start=20100101&end=20210101
1244	Experty	EXY	$0.040514	6.99%	7.61%	$1,097,464	$1,130	27,894 EXY	27,088,352 EXY	https://coinmarketcap.com/currencies/experty/historical-data/?start=20100101&end=20210101
1245	LocalCoinSwap	LCS	$0.021112	34.05%	8.31%	$1,097,152	$7,275	344,575 LCS	51,968,794 LCS	https://coinmarketcap.com/currencies/local-coin-swap/historical-data/?start=20100101&end=20210101
1246	PeepCoin	PCN	$0.000008	63.68%	85.79%	$1,081,587	$160	21,066,590 PCN	142,196,446,912 PCN	https://coinmarketcap.com/currencies/peepcoin/historical-data/?start=20100101&end=20210101
1247	Incent	INCNT	$0.023526	4.91%	8.14%	$1,082,580	$0	0 INCNT	46,016,532 INCNT	https://coinmarketcap.com/currencies/incent/historical-data/?start=20100101&end=20210101
1248	SolarCoin	SLR	$0.017404	3.77%	32.66%	$1,079,877	$153	8,802 SLR	62,046,190 SLR	https://coinmarketcap.com/currencies/solarcoin/historical-data/?start=20100101&end=20210101
1249	Rapids	RPD	$0.000077	37.54%	28.87%	$1,077,010	$1,089	14,094,383 RPD	13,937,571,364 RPD	https://coinmarketcap.com/currencies/rapids/historical-data/?start=20100101&end=20210101
1250	Open Platform	OPEN	$0.001018	4.21%	10.72%	$1,076,994	$69,478	68,236,547 OPEN	1,057,742,422 OPEN	https://coinmarketcap.com/currencies/open-platform/historical-data/?start=20100101&end=20210101
1251	UniLayer	LAYER	$0.060045	8.41%	23.44%	$1,076,255	$190,502	3,172,653 LAYER	17,924,143 LAYER	https://coinmarketcap.com/currencies/unilayer/historical-data/?start=20100101&end=20210101
1252	Streamity	STM	$0.029774	0.16%	2.54%	$1,071,506	$0	0 STM	35,987,749 STM	https://coinmarketcap.com/currencies/streamity/historical-data/?start=20100101&end=20210101
1253	Enecuum	ENQ	$0.007405	5.10%	10.36%	$1,070,811	$122,716	16,572,409 ENQ	144,609,930 ENQ	https://coinmarketcap.com/currencies/enecuum/historical-data/?start=20100101&end=20210101
1254	General Attention Currency	XAC	$0.106895	86.09%	84.57%	$1,068,949	$19	177 XAC	10,000,000 XAC	https://coinmarketcap.com/currencies/general-attention-currency/historical-data/?start=20100101&end=20210101
1255	AXPR	AXPR	$0.003827	15.22%	15.97%	$1,070,243	$5,063	1,322,979 AXPR	279,674,001 AXPR	https://coinmarketcap.com/currencies/axpr-token/historical-data/?start=20100101&end=20210101
1256	Ycash	YEC	$0.100020	1.85%	1.65%	$1,064,351	$216,369	2,163,250 YEC	10,641,369 YEC	https://coinmarketcap.com/currencies/ycash/historical-data/?start=20100101&end=20210101
1257	ADAMANT Messenger	ADM	$0.012390	3.30%	5.81%	$1,062,204	$2,515	203,011 ADM	85,729,026 ADM	https://coinmarketcap.com/currencies/adamant-messenger/historical-data/?start=20100101&end=20210101
1258	GHOST	GHOST	$0.071512	9.03%	2.99%	$1,041,344	$83,552	1,168,360 GHOST	14,561,770 GHOST	https://coinmarketcap.com/currencies/ghost/historical-data/?start=20100101&end=20210101
1259	TransferCoin	TX	$0.127472	5.01%	1774.91%	$1,057,565	$0	0 TX	8,296,433 TX	https://coinmarketcap.com/currencies/transfercoin/historical-data/?start=20100101&end=20210101
1260	Bean Cash	BITB	$0.000267	5.01%	41.01%	$1,057,055	$0	0 BITB	3,955,481,000 BITB	https://coinmarketcap.com/currencies/bean-cash/historical-data/?start=20100101&end=20210101
1261	Origin Dollar	OUSD	$0.150249	0.08%	0.03%	$1,054,462	$0	0 OUSD	7,018,095 OUSD	https://coinmarketcap.com/currencies/origin-dollar/historical-data/?start=20100101&end=20210101
1262	QuadrantProtocol	EQUAD	$0.002695	1.47%	5.02%	$1,055,784	$46,008	17,072,548 EQUAD	391,775,431 EQUAD	https://coinmarketcap.com/currencies/quadrantprotocol/historical-data/?start=20100101&end=20210101
1263	Lobstex	LOBS	$0.050560	4.87%	9.64%	$1,060,048	$105,639	2,089,389 LOBS	20,966,278 LOBS	https://coinmarketcap.com/currencies/lobstex/historical-data/?start=20100101&end=20210101
1264	Megacoin	MEC	$0.026724	5.95%	57.22%	$1,051,554	$86	3,203 MEC	39,349,063 MEC	https://coinmarketcap.com/currencies/megacoin/historical-data/?start=20100101&end=20210101
1265	LGO Token	LGO	$0.019458	3.75%	1.09%	$1,050,464	$3,478	178,740 LGO	53,985,545 LGO	https://coinmarketcap.com/currencies/lgo-token/historical-data/?start=20100101&end=20210101
1266	Xfinance	XFI	$21.61	5.11%	10.59%	$1,052,898	$275,614	12,757 XFI	48,733 XFI	https://coinmarketcap.com/currencies/xfinance/historical-data/?start=20100101&end=20210101
1267	Ixinium	XXA	$0.077818	14.13%	32.65%	$1,066,515	$609	7,820 XXA	13,705,214 XXA	https://coinmarketcap.com/currencies/ixinium/historical-data/?start=20100101&end=20210101
1268	Scala	XLA	$0.000110	1.04%	12.37%	$1,050,646	$1,113	10,085,231 XLA	9,522,189,688 XLA	https://coinmarketcap.com/currencies/scala/historical-data/?start=20100101&end=20210101
1269	Lightstreams	PHT	$0.022603	46.52%	44.37%	$1,039,881	$3,958	175,107 PHT	46,006,240 PHT	https://coinmarketcap.com/currencies/lightstreams/historical-data/?start=20100101&end=20210101
1270	Titan Coin	TTN	$0.001141	18.87%	28.17%	$1,039,084	$220	192,627 TTN	910,820,150 TTN	https://coinmarketcap.com/currencies/titan-coin/historical-data/?start=20100101&end=20210101
1271	GlobalBoost-Y	BSTY	$0.057915	3.69%	28.36%	$1,039,605	$6,807	117,534 BSTY	17,950,579 BSTY	https://coinmarketcap.com/currencies/globalboost-y/historical-data/?start=20100101&end=20210101
1272	eosDAC	EOSDAC	$0.001580	4.63%	15.03%	$1,043,776	$31,645	20,032,908 EOSDAC	660,755,177 EOSDAC	https://coinmarketcap.com/currencies/eosdac/historical-data/?start=20100101&end=20210101
1273	Sessia	KICKS	$0.113672	6.51%	3.57%	$1,026,049	$383,544	3,374,122 KICKS	9,026,389 KICKS	https://coinmarketcap.com/currencies/sessia/historical-data/?start=20100101&end=20210101
1274	EOS TRUST	EOST	$0.000137	2021.75%	17.93%	$1,031,995	$0	0 EOST	7,518,810,122 EOST	https://coinmarketcap.com/currencies/eos-trust/historical-data/?start=20100101&end=20210101
1275	Cryptaur	CPT	$0.000080	10.48%	13.68%	$1,033,997	$1,339	16,713,935 CPT	12,910,321,437 CPT	https://coinmarketcap.com/currencies/cryptaur/historical-data/?start=20100101&end=20210101
1276	Blackmoon	BMC	$0.013139	29.59%	72.23%	$709,482	$834	63,471 BMC	54,000,000 BMC	https://coinmarketcap.com/currencies/blackmoon/historical-data/?start=20100101&end=20210101
1277	Bitcoin Confidential	BC	$0.000137	15.65%	4.41%	$1,007,165	$3,619	26,468,619 BC	7,365,901,523 BC	https://coinmarketcap.com/currencies/bitcoin-confidential/historical-data/?start=20100101&end=20210101
1278	CREA	CREA	$0.051686	3.91%	31.58%	$998,964	$1,867	36,123 CREA	19,327,713 CREA	https://coinmarketcap.com/currencies/crea/historical-data/?start=20100101&end=20210101
1279	MenaPay	MPAY	$0.006553	47.94%	29.53%	$879,056	$88,140	13,449,626 MPAY	134,137,876 MPAY	https://coinmarketcap.com/currencies/menapay/historical-data/?start=20100101&end=20210101
1280	SBank	STS	$0.160353	68.49%	18.20%	$987,090	$22,661	141,322 STS	6,155,717 STS	https://coinmarketcap.com/currencies/sbank/historical-data/?start=20100101&end=20210101
1281	Vites	VITES	$0.000027	5.01%	17.91%	$985,112	$0	0 VITES	36,862,804,384 VITES	https://coinmarketcap.com/currencies/vites/historical-data/?start=20100101&end=20210101
1282	Bancacy	BNY	$0.007331	12.43%	18.87%	$985,099	$0	0 BNY	134,373,899 BNY	https://coinmarketcap.com/currencies/bancacy/historical-data/?start=20100101&end=20210101
1283	Small Love Potion	SLP	$0.021736	6.96%	13.33%	$994,129	$152,078	6,996,450 SLP	45,735,622 SLP	https://coinmarketcap.com/currencies/small-love-potion/historical-data/?start=20100101&end=20210101
1284	BitCrystals	BCY	$0.042758	5.01%	17.91%	$975,585	$0	0 BCY	22,816,446 BCY	https://coinmarketcap.com/currencies/bitcrystals/historical-data/?start=20100101&end=20210101
1285	Binance GBP Stable Coin	BGBP	$1.39	0.05%	0.00%	$973,055	$0	0 BGBP	700,001 BGBP	https://coinmarketcap.com/currencies/binance-gbp-stable-coin/historical-data/?start=20100101&end=20210101
1286	Color Platform	CLR	$0.007071	0.26%	33.69%	$970,378	$1,088	153,877 CLR	137,230,262 CLR	https://coinmarketcap.com/currencies/color-platform/historical-data/?start=20100101&end=20210101
1287	MobileGo	MGO	$0.008933	5.75%	4.59%	$893,260	$1,061,399	118,819,421 MGO	99,996,877 MGO	https://coinmarketcap.com/currencies/mobilego/historical-data/?start=20100101&end=20210101
1288	Blue Whale EXchange	BWX	$0.017847	33.18%	10.32%	$780,890	$146,095	8,185,972 BWX	43,754,673 BWX	https://coinmarketcap.com/currencies/blue-whale-exchange/historical-data/?start=20100101&end=20210101
1289	Webflix Token	WFX	$0.000285	0.09%	0.38%	$953,987	$0	0 WFX	3,342,506,493 WFX	https://coinmarketcap.com/currencies/webflix-token/historical-data/?start=20100101&end=20210101
1290	Tolar	TOL	$0.004204	24.20%	36.08%	$959,259	$60,323	14,348,439 TOL	228,170,103 TOL	https://coinmarketcap.com/currencies/tolar/historical-data/?start=20100101&end=20210101
1291	Cryptobuyer	XPT	$0.016754	15.25%	3.22%	$959,195	$72,300	4,315,465 XPT	57,252,664 XPT	https://coinmarketcap.com/currencies/cryptobuyer/historical-data/?start=20100101&end=20210101
1292	SynchroBitcoin	SNB	$0.011860	25.30%	35.77%	$942,697	$1,370	115,531 SNB	79,486,465 SNB	https://coinmarketcap.com/currencies/synchrobitcoin/historical-data/?start=20100101&end=20210101
1293	Sumokoin	SUMO	$0.034194	12.64%	3.63%	$942,731	$77,119	2,255,322 SUMO	27,570,024 SUMO	https://coinmarketcap.com/currencies/sumokoin/historical-data/?start=20100101&end=20210101
1294	JUIICE	JUI	$0.000143	7.82%	16.32%	$942,583	$0	0 JUI	6,600,000,100 JUI	https://coinmarketcap.com/currencies/juiice/historical-data/?start=20100101&end=20210101
1295	Ixcoin	IXC	$0.034511	18.76%	2.08%	$730,319	$0	0 IXC	21,161,914 IXC	https://coinmarketcap.com/currencies/ixcoin/historical-data/?start=20100101&end=20210101
1296	Scry.info	DDD	$0.002127	4.38%	0.99%	$935,844	$6,894	3,241,878 DDD	440,057,074 DDD	https://coinmarketcap.com/currencies/scryinfo/historical-data/?start=20100101&end=20210101
1297	Hacken Token	HAI	$0.011143	5.96%	28.15%	$934,045	$8,422	755,844 HAI	83,825,907 HAI	https://coinmarketcap.com/currencies/hackenai/historical-data/?start=20100101&end=20210101
1298	VIG	VIG	$0.001156	3.38%	0.66%	$934,966	$4,329	3,743,708 VIG	808,526,535 VIG	https://coinmarketcap.com/currencies/vig/historical-data/?start=20100101&end=20210101
1299	Content Neutrality Network	CNN	$0.000024	4.16%	5.74%	$926,869	$63,372	2,668,940,314 CNN	39,035,223,816 CNN	https://coinmarketcap.com/currencies/content-neutrality-network/historical-data/?start=20100101&end=20210101
1300	Bitcoin Private	BTCP	$0.193690	0.68%	13.38%	$926,954	$7,000	36,140 BTCP	4,785,761 BTCP	https://coinmarketcap.com/currencies/bitcoin-private/historical-data/?start=20100101&end=20210101
1301	Phantasma Energy	KCAL	$0.020637	5.75%	6.03%	$931,635	$17,016	824,544 KCAL	45,144,245 KCAL	https://coinmarketcap.com/currencies/phantasma-energy/historical-data/?start=20100101&end=20210101
1302	Themis	GET	$0.001541	8.99%	5.10%	$924,892	$75,352	48,882,690 GET	599,999,910 GET	https://coinmarketcap.com/currencies/themis/historical-data/?start=20100101&end=20210101
1303	EBCoin	EBC	$0.000200	18.32%	30.29%	$919,294	$84,532	421,637,079 EBC	4,585,368,086 EBC	https://coinmarketcap.com/currencies/ebcoin/historical-data/?start=20100101&end=20210101
1304	Friendz	FDZ	$0.001696	2.85%	4.68%	$918,512	$33,574	19,797,687 FDZ	541,629,711 FDZ	https://coinmarketcap.com/currencies/friends/historical-data/?start=20100101&end=20210101
1305	Permission Coin	ASK	$0.000222	3.42%	16.50%	$914,060	$53,275	239,552,164 ASK	4,110,077,464 ASK	https://coinmarketcap.com/currencies/permission-coin/historical-data/?start=20100101&end=20210101
1306	Wownero	WOW	$0.025895	56.22%	51.29%	$921,684	$301,621	11,647,835 WOW	35,593,128 WOW	https://coinmarketcap.com/currencies/wownero/historical-data/?start=20100101&end=20210101
1307	Tidex Token	TDX	$0.096064	23.97%	8.38%	$913,090	$544	5,663 TDX	9,504,980 TDX	https://coinmarketcap.com/currencies/tidex-token/historical-data/?start=20100101&end=20210101
1308	Maincoin	MNC	$0.002438	6.45%	10.54%	$911,875	$10,675	4,378,416 MNC	374,000,000 MNC	https://coinmarketcap.com/currencies/maincoin/historical-data/?start=20100101&end=20210101
1309	Coinsbit Token	CNB	$0.000683	0.64%	10.30%	$909,347	$139,379	204,048,062 CNB	1,331,266,628 CNB	https://coinmarketcap.com/currencies/coinsbit-token/historical-data/?start=20100101&end=20210101
1310	Pinkcoin	PINK	$0.002148	24.32%	21.10%	$910,499	$6,310	2,937,318 PINK	423,833,922 PINK	https://coinmarketcap.com/currencies/pinkcoin/historical-data/?start=20100101&end=20210101
1311	DAPS Coin	DAPS	$0.000016	22.11%	29.04%	$907,244	$15,251	974,602,256 DAPS	57,977,796,500 DAPS	https://coinmarketcap.com/currencies/daps-coin/historical-data/?start=20100101&end=20210101
1312	BABB	BAX	$0.000023	0.11%	14.91%	$897,668	$19,373	853,561,859 BAX	39,550,961,815 BAX	https://coinmarketcap.com/currencies/babb/historical-data/?start=20100101&end=20210101
1313	Smartshare	SSP	$0.000181	9.33%	5.85%	$839,264	$176,691	976,847,184	4,639,918,911 SSP	https://coinmarketcap.com/currencies/smartshare/historical-data/?start=20100101&end=20210101
1314	Digital Insurance Token	DIT	$0.003995	6.80%	28.69%	$897,382	$0	0 DIT	224,644,536 DIT	https://coinmarketcap.com/currencies/digital-insurance-token/historical-data/?start=20100101&end=20210101
1315	0xcert	ZXC	$0.002544	6.92%	9.89%	$884,729	$67,046	26,352,554 ZXC	347,746,334 ZXC	https://coinmarketcap.com/currencies/0xcert/historical-data/?start=20100101&end=20210101
1316	Uptrennd	1UP	$0.002523	4.64%	20.28%	$877,774	$20,580	8,158,207 1UP	347,957,645 1UP	https://coinmarketcap.com/currencies/uptrennd/historical-data/?start=20100101&end=20210101
1317	Ethereum Stake	ETHYS	$4.34	11.98%	6.28%	$867,396	$1,066	246 ETHYS	200,000 ETHYS	https://coinmarketcap.com/currencies/ethereum-stake/historical-data/?start=20100101&end=20210101
1318	SpectrumCash	XSM	$0.000268	4.93%	18.05%	$868,724	$0	0 XSM	3,247,236,428 XSM	https://coinmarketcap.com/currencies/spectrumcash/historical-data/?start=20100101&end=20210101
1319	TurtleCoin	TRTL	$0.000010	11.18%	2.62%	$870,028	$136,377	14,209,730,160 TRTL	90,651,986,235 TRTL	https://coinmarketcap.com/currencies/turtlecoin/historical-data/?start=20100101&end=20210101
1320	Humaniq	HMQ	$0.004629	21.72%	21.42%	$860,085	$112,351	24,272,079 HMQ	185,811,695 HMQ	https://coinmarketcap.com/currencies/humaniq/historical-data/?start=20100101&end=20210101
1321	NFX Coin	NFXC	$0.006957	14.17%	2969.92%	$853,928	$20	2,887 NFXC	122,738,258 NFXC	https://coinmarketcap.com/currencies/nfx-coin/historical-data/?start=20100101&end=20210101
1322	FujiCoin	FJC	$0.000268	4.87%	18.11%	$849,528	$0	5 FJC	3,175,483,622 FJC	https://coinmarketcap.com/currencies/fujicoin/historical-data/?start=20100101&end=20210101
1323	Nebula AI	NBAI	$0.000679	12.87%	19.33%	$852,110	$0	0 NBAI	1,254,943,205 NBAI	https://coinmarketcap.com/currencies/nebula-ai/historical-data/?start=20100101&end=20210101
1324	CanonChain	CZR	$0.001460	12.87%	19.37%	$850,159	$0	0 CZR	582,212,719 CZR	https://coinmarketcap.com/currencies/cononchain/historical-data/?start=20100101&end=20210101
1325	Pivot Token	PVT	$0.000164	1.46%	14.12%	$841,070	$261,102	1,594,175,341 PVT	5,135,200,000 PVT	https://coinmarketcap.com/currencies/pivot-token/historical-data/?start=20100101&end=20210101
1326	ATN	ATN	$0.010000	34.42%	45.50%	$843,013	$17,619	1,761,880 ATN	84,302,524 ATN	https://coinmarketcap.com/currencies/atn/historical-data/?start=20100101&end=20210101
1327	Upfiring	UFR	$0.034833	9.11%	8.19%	$835,997	$3,059	87,832 UFR	24,000,000 UFR	https://coinmarketcap.com/currencies/upfiring/historical-data/?start=20100101&end=20210101
1328	Teloscoin	TELOS	$0.005010	6.10%	19.15%	$836,575	$324	64,663 TELOS	166,965,726 TELOS	https://coinmarketcap.com/currencies/teloscoin/historical-data/?start=20100101&end=20210101
1329	Falcon Project	FNT	$0.000211	2.42%	7.17%	$835,493	$0	0 FNT	3,951,280,734 FNT	https://coinmarketcap.com/currencies/falcon-project/historical-data/?start=20100101&end=20210101
1330	TouchCon	TOC	$0.008115	8.99%	30.68%	$829,366	$11,182	1,377,965 TOC	102,200,364 TOC	https://coinmarketcap.com/currencies/touchcon/historical-data/?start=20100101&end=20210101
1331	Digital Gold	GOLD	$61.41	0.71%	11.71%	$828,403	$1,157,818	18,855 GOLD	13,490 GOLD	https://coinmarketcap.com/currencies/digital-gold/historical-data/?start=20100101&end=20210101
1332	BOScoin	BOS	$0.000954	16.62%	4.82%	$826,100	$436	456,996 BOS	865,842,501 BOS	https://coinmarketcap.com/currencies/boscoin/historical-data/?start=20100101&end=20210101
1333	Cashbery Coin	CBC	$0.012306	4.93%	6.25%	$826,816	$224	18,208 CBC	67,186,714 CBC	https://coinmarketcap.com/currencies/cashbery-coin/historical-data/?start=20100101&end=20210101
1334	Centaur	CNTR	$0.004026	12.38%	13.06%	$823,010	$460,209	114,301,061 CNTR	204,409,007 CNTR	https://coinmarketcap.com/currencies/centaur/historical-data/?start=20100101&end=20210101
1335	Max Property Group	MPG	$0.005750	4.21%	23.90%	$817,728	$1,613	280,458 MPG	142,223,550 MPG	https://coinmarketcap.com/currencies/max-property-group/historical-data/?start=20100101&end=20210101
1336	YGGDRASH	YEED	$0.000150	62.61%	32.57%	$816,499	$59,641	397,908,272 YEED	5,447,415,594 YEED	https://coinmarketcap.com/currencies/yeed/historical-data/?start=20100101&end=20210101
1337	Pandacoin	PND	$0.000025	12.86%	24.79%	$819,012	$0	0 PND	32,514,916,898 PND	https://coinmarketcap.com/currencies/pandacoin-pnd/historical-data/?start=20100101&end=20210101
1338	Playgroundz	IOG	$0.028512	19.45%	32.41%	$813,873	$4,157	145,811 IOG	28,545,120 IOG	https://coinmarketcap.com/currencies/playgroundz/historical-data/?start=20100101&end=20210101
1339	AGA Token	AGA	$0.448888	24.62%	30.50%	$813,826	$10,141	22,591 AGA	1,812,983 AGA	https://coinmarketcap.com/currencies/aga/historical-data/?start=20100101&end=20210101
1340	ALLY	ALY	$0.000353	2.43%	9.81%	$812,530	$2,334	6,606,195 ALY	2,300,000,000 ALY	https://coinmarketcap.com/currencies/ally/historical-data/?start=20100101&end=20210101
1341	Eden	EDN	$0.001362	3.01%	10.31%	$817,190	$20,588	15,115,997 EDN	600,000,000 EDN	https://coinmarketcap.com/currencies/eden/historical-data/?start=20100101&end=20210101
1342	Ethereum Yield	ETHY	$8.06	7.47%	2.11%	$805,791	$15,136	1,878 ETHY	100,000 ETHY	https://coinmarketcap.com/currencies/ethereum-yield/historical-data/?start=20100101&end=20210101
1343	Add.xyz	PLT	$0.038275	13.46%	10.97%	$806,559	$916,966	23,957,599 PLT	21,072,987 PLT	https://coinmarketcap.com/currencies/add-xyz/historical-data/?start=20100101&end=20210101
1344	BitScreener Token	BITX	$0.008895	57.68%	41.56%	$778,936	$4,467	502,166 BITX	87,573,177 BITX	https://coinmarketcap.com/currencies/bitscreener-token/historical-data/?start=20100101&end=20210101
1345	hybrix	HY	$0.436368	1.07%	7.21%	$803,118	$877	2,010 HY	1,840,459 HY	https://coinmarketcap.com/currencies/hybrix/historical-data/?start=20100101&end=20210101
1346	EchoLink	EKO	$0.001626	1.89%	10.48%	$813,154	$82,213	50,552,116 EKO	500,000,000 EKO	https://coinmarketcap.com/currencies/echolink/historical-data/?start=20100101&end=20210101
1347	Team Finance	TEAM	$1.46	12.65%	19.09%	$800,461	$0	0 TEAM	549,922 TEAM	https://coinmarketcap.com/currencies/team-finance/historical-data/?start=20100101&end=20210101
1348	Alphacat	ACAT	$0.000287	2.32%	2.84%	$801,989	$51,550	179,363,307 ACAT	2,790,428,084 ACAT	https://coinmarketcap.com/currencies/alphacat/historical-data/?start=20100101&end=20210101
1349	BitcoinZ	BTCZ	$0.000096	0.49%	20.97%	$801,967	$75,500	786,808,851 BTCZ	8,357,497,575 BTCZ	https://coinmarketcap.com/currencies/bitcoinz/historical-data/?start=20100101&end=20210101
1350	ChatCoin	CHAT	$0.001162	3.38%	20.86%	$802,006	$125,260	107,766,873 CHAT	690,000,640 CHAT	https://coinmarketcap.com/currencies/chatcoin/historical-data/?start=20100101&end=20210101
1351	Terracoin	TRC	$0.034746	29.87%	33.12%	$796,915	$4,301	123,791 TRC	22,935,396 TRC	https://coinmarketcap.com/currencies/terracoin/historical-data/?start=20100101&end=20210101
1352	Juggernaut	JGN	$0.076359	6.22%	11.74%	$788,410	$25,122	329,003 JGN	10,325,000 JGN	https://coinmarketcap.com/currencies/juggernaut/historical-data/?start=20100101&end=20210101
1353	BQT	BQTX	$0.001355	2.45%	4.11%	$791,860	$1,441	1,063,511 BQTX	584,505,737 BQTX	https://coinmarketcap.com/currencies/bqt/historical-data/?start=20100101&end=20210101
1354	TV-TWO	TTV	$0.001761	5.17%	9.44%	$787,133	$0	0 TTV	447,090,078 TTV	https://coinmarketcap.com/currencies/tv-two/historical-data/?start=20100101&end=20210101
1355	Cajutel	CAJ	$0.581170	1.78%	46.86%	$785,968	$0	0 CAJ	1,352,389 CAJ	https://coinmarketcap.com/currencies/cajutel/historical-data/?start=20100101&end=20210101
1356	MonetaryUnit	MUE	$0.003741	10.86%	3.17%	$785,008	$2,045	546,709 MUE	209,820,968 MUE	https://coinmarketcap.com/currencies/monetaryunit/historical-data/?start=20100101&end=20210101
1357	QANplatform	QARK	$0.040999	21.42%	47.07%	$781,365	$1,963	47,880 QARK	19,057,960 QARK	https://coinmarketcap.com/currencies/qanplatform/historical-data/?start=20100101&end=20210101
1358	Expanse	EXP	$0.041739	8.37%	12.49%	$784,905	$2,223	53,249 EXP	18,805,100 EXP	https://coinmarketcap.com/currencies/expanse/historical-data/?start=20100101&end=20210101
1359	Peet DeFi	PTE	$20.30	1.04%	63.36%	$778,746	$562	28 PTE	38,356 PTE	https://coinmarketcap.com/currencies/peet-defi/historical-data/?start=20100101&end=20210101
1360	Snetwork	SNET	$0.003440	0.37%	7.51%	$771,267	$64,300	18,691,070 SNET	224,195,972 SNET	https://coinmarketcap.com/currencies/snetwork/historical-data/?start=20100101&end=20210101
1361	KanadeCoin	KNDC	$0.000141	990.34%	2205.62%	$771,773	$0	0 KNDC	5,471,056,500 KNDC	https://coinmarketcap.com/currencies/kanadecoin/historical-data/?start=20100101&end=20210101
1362	Xriba	XRA	$0.007050	0.00%	17.50%	$770,267	$367	52,100 XRA	109,257,762 XRA	https://coinmarketcap.com/currencies/xriba/historical-data/?start=20100101&end=20210101
1363	Evedo	EVED	$0.051906	12.19%	88.05%	$709,644	$1,415,364	27,267,989 EVED	13,671,790 EVED	https://coinmarketcap.com/currencies/evedo/historical-data/?start=20100101&end=20210101
1364	ZumCoin	ZUM	$0.000765	3.06%	12.43%	$755,962	$35	45,495 ZUM	988,819,491 ZUM	https://coinmarketcap.com/currencies/zumcoin/historical-data/?start=20100101&end=20210101
1365	Block-Logic	BLTG	$0.032988	85.62%	20.96%	$755,395	$465	14,083 BLTG	22,899,329 BLTG	https://coinmarketcap.com/currencies/block-logic/historical-data/?start=20100101&end=20210101
1366	GoWithMi	GMAT	$0.000280	14.63%	1.85%	$763,535	$12,768	45,544,550 GMAT	2,723,550,000 GMAT	https://coinmarketcap.com/currencies/gowithmi/historical-data/?start=20100101&end=20210101
